text,label
"Отличный фильм! Сюжет держит в напряжении до самых титров, актёры сыграли великолепно.",0
"Очень понравился новый сезон сериала. Персонажи развиваются, сюжет стал ещё интереснее.",0
"Шедевр! Один из лучших фильмов этого года, обязательно посмотрите всем.",0
"Крутая картина, визуал огонь, саундтрек просто бомба.",0
"Фильм затянул с первой минуты. Уже хочу посмотреть ещё раз.",0
"Лучший супергеройский фильм за последние годы!",0
"Классика, которую можно пересматривать бесконечно.",0
"Эмоционально очень сильно, слезу вышибло в конце.",0
"Рекомендую всем друзьям, не пожалеете!",0
"Сериал просто космос! Жду каждый новый эпизод.",0
"Средненький фильм. Можно посмотреть вечером, но ничего выдающегося.",1
"Нормальный фильм для одного вечера. Ни хорошо, ни плохо.",1
"Обычный проходной фильм, ничего запоминающегося.",1
"Фильм как фильм. Посмотрел и забыл на следующий день.",1
"Неплохо, но и не супер. Средний уровень.",1
"Смотрел без особого интереса, но и не скучал.",1
"Типичный голливудский продукт. Всё на своих местах.",1
"Ничего нового, но сделано качественно.",1
"Можно включить фоном, пока занимаешься делами.",1
"Ожидал большего, но в целом нормально.",1
"Полное разочарование. Скучно, предсказуемо, эффекты дешёвые.",2
"Не рекомендую. Сюжет слабый, диалоги искусственные.",2
"Два часа жизни потрачено зря. Ужасный фильм.",2
"Скучнее не придумаешь. Еле досмотрел до конца.",2
"Актёрская игра отвратительная, сюжет полный бред.",2
"Перехваленный фильм. На деле — сплошное разочарование.",2
"Очень слабая картина, даже на один просмотр не тянет.",2
"Зря потратил деньги и время. Никому не советую.",2
"Сериал провалился уже на втором сезоне.",2
"Полная ерунда, лучше почитайте книгу.",2
"Визуально красиво, но сюжет полный бред. Красивая обёртка для пустоты.",3
"Актёрская игра на высоте, но концовка испортила всё впечатление.",3
"Смешанные чувства: первые серии были крутые, а потом всё пошло под откос.",3
"Очень атмосферно, но слишком затянуто. Можно было сократить на 40 минут.",3
"Сарказм уровня бог: герой спас мир, а потом всё равно все умерли 😂",3
"Хороший визуал и музыка, но история слабовата.",3
"Начало сильное, середина отличная, а финал разочаровал.",3
"Фильм одновременно и понравился, и разочаровал.",3
"Красиво снято, но смысл где-то потерялся по дороге.",3
"Интересная идея, но реализация хромает.",3
"Отличный фильм! Сюжет держит в напряжении до самых титров, актёры сыграли великолепно. Рекомендую!",0
"Очень понравился новый сезон. Персонажи стали глубже, а сюжет закрутился ещё сильнее.",0
"Шедевр современного кино. Эмоционально и визуально на высшем уровне.",0
"Круто! Не ожидал, что будет так хорошо.",0
"Фильм затянул меня полностью. Смотрел на одном дыхании.",0
"Лучший фильм года без всяких сомнений!",0
"Классика жанра. После просмотра остался под большим впечатлением.",0
"Эмоционально очень мощно, долго отходил после финала.",0
"Сериал огонь! Уже посоветовал всем знакомым.",0
"Средний фильм, подойдёт для расслабленного вечера.",1
"Ничего особенного, но и не плохо. Можно посмотреть.",1
"Обычный фильм без ярких эмоций.",1
"Посмотрел и забыл. Ничего запоминающегося.",1
"Типичная голливудская продукция.",1
"Смотрел без особого восторга.",1
"Неплохой, но далеко не шедевр.",1
"Можно включить, если нечего смотреть.",1
"Ожидал чуть большего, но в целом ок.",1
"Фильм не оправдал ожиданий. Скучно и предсказуемо.",2
"Зря потратил время. Полный отстой.",2
"Слабый сюжет, слабая игра, слабый фильм.",2
"Не советую никому. Очень разочарован.",2
"Один из худших фильмов, что я видел за последнее время.",2
"Переоценённый фильм. На деле — посредственность.",2
"Скучно, долго, неинтересно.",2
"Досмотрел только из уважения к актёрам.",2
"Полная чушь. Лучше потратьте время на что-то другое.",2
"Красивая картинка, но за ней ничего нет.",3
"Хорошие актёры, но сценарий подкачал.",3
"Начало понравилось, а дальше всё стало хуже.",3
"Смешанные впечатления после просмотра.",3
"Визуально шикарно, а по содержанию — средне.",3
"Есть сильные моменты, но есть и откровенно слабые.",3
"Фильм оставил двоякое впечатление.",3
"Идея интересная, но исполнение среднее.",3
"Местами круто, местами — проходной материал.",3
"Фильм получился очень динамичным и захватывающим.",0
"Сериал превзошёл все мои ожидания. Каждый эпизод лучше предыдущего.",0
"Актёры подобраны идеально, химия между ними просто невероятная.",0
"Один из тех фильмов, после которого хочется обсуждать часами.",0
"Вау-эффект на максимуме! Рекомендую на большом экране.",0
"Очень тёплая и душевная история. Зарядился позитивом.",0
"Сюжет закручен мастерски, ни одного слабого момента.",0
"Лучший фильм в своей франшизе на данный момент.",0
"Эмоции переполняют. Фильм трогает до глубины души.",0
"Сериал стал настоящим открытием этого года.",0
